ID,Texto Original
casos_complejos_1_1,The pipes
casos_complejos_1_2,under the wire mesh
casos_complejos_1_3, aren't too close together.
casos_complejos_2_1,... Rattle... rumble... screech...
casos_complejos_4_1,Upgrade to
casos_complejos_4_2, compartments.
casos_complejos_5_1,This is
casos_complejos_5_2,bold
casos_complejos_5_3, and this is
casos_complejos_5_4,italic
casos_complejos_5_5,.
casos_complejos_6_1,This is a paragraph.
casos_complejos_7_1,A sentence with a
casos_complejos_7_2, variable.
casos_complejos_8_1,This text is
casos_complejos_8_2,red
casos_complejos_8_3,.
casos_complejos_9_1,This is a lone brace
casos_complejos_9_2, in a sentence.
quests_1_1,First Quest
quests_2_1,Second Quest
double_escaped_1_1,\\\\
achievements_1_1,The Fool
achievements_2_1,The Magician
