ID,Texto Original,Texto Traducido
casos_complejos_1_1,The pipes ,The pipes _es
casos_complejos_1_2,under the wire mesh,under the wire mesh_es
casos_complejos_1_3," aren't too close together.", aren't too close together._es
casos_complejos_2_1,... Rattle... rumble... screech...,... Rattle... rumble... screech..._es
casos_complejos_4_1,"Upgrade to ",Upgrade to _es
casos_complejos_4_2," compartments.", compartments._es
casos_complejos_5_1,This is ,This is _es
casos_complejos_5_2,bold,bold_es
casos_complejos_5_3," and this is ", and this is _es
casos_complejos_5_4,italic,italic_es
casos_complejos_5_5,.,._es
casos_complejos_6_1,This is a paragraph.,This is a paragraph._es
casos_complejos_7_1,"A sentence with a ",A sentence with a _es
casos_complejos_7_2," variable.", variable._es
casos_complejos_8_1,This text is ,This text is _es
casos_complejos_8_2,red,red_es
casos_complejos_8_3,.,._es
casos_complejos_9_1,This is a lone brace ,This is a lone brace _es
casos_complejos_9_2," in a sentence.", in a sentence._es
